City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,sergeyevka,53.88,67.4158,274.46,89,100,4.66,KZ,1703253421
292,udachny,66.4167,112.4,255.62,84,82,2.78,RU,1703253422
293,mora,11.0461,14.1401,305.94,13,77,4.56,CM,1703253422
294,kiruna,67.8557,20.2251,257.66,92,100,1.54,SE,1703253422
295,labrador city,52.9463,-66.9114,244.1,76,20,1.03,CA,1703253423
296,kolonia,50.9333,6.95,283.51,82,75,9.26,DE,1703253275
297,i-n-salah,27.1935,2.4607,293.09,23,0,4.51,DZ,1703253423
298,boca suno,-0.7167,-77.1333,296.92,92,100,0.32,EC,1703253424
299,sao vicente,-23.9631,-46.3919,306.08,60,75,2.68,BR,1703253424
300,lagoa,39.05,-27.9833,288.83,70,54,4.86,PT,1703253424
301,byron bay,-28.65,153.6167,290.77,88,89,4.15,AU,1703253424
302,lazaro cardenas,17.9583,-102.2,296.97,83,98,1.85,MX,1703253425
303,stornoway,58.2093,-6.3865,277.13,89,40,5.14,GB,1703253425
304,huangmei,30.1924,116.025,271.04,47,99,2.27,CN,1703253425
305,alaghsas,17.0187,8.0168,300.09,13,0,5.66,NE,1703253236
306,nyurba,63.2842,118.3319,250.35,97,76,2.87,RU,1703253425
307,guerrero negro,27.9769,-114.0611,290.24,89,13,1.42,MX,1703253426
308,barrouallie,13.2333,-61.2667,297.94,89,75,5.66,VC,1703253426
309,ulladulla,-35.35,150.4667,290.05,86,100,3.49,AU,1703253426
310,coquimbo,-29.9533,-71.3436,289.0,82,100,2.57,CL,1703253426
311,mount isa,-20.7333,139.5,303.02,12,0,3.6,AU,1703253427
312,bosobolo,4.1833,19.9,310.44,17,57,2.34,CD,1703253427
313,puerto leguizamo,-0.1934,-74.7819,301.18,73,99,0.51,CO,1703253427
314,farafangana,-22.8167,47.8333,301.71,74,81,5.08,MG,1703253427
315,puerto santa,-8.9906,-78.6456,293.74,86,100,2.87,PE,1703253428
316,vol'sk,52.0333,47.3833,275.21,94,100,3.53,RU,1703253428
317,lusambo,-4.9667,23.45,304.12,53,100,2.11,CD,1703253428
318,sitka,57.0531,-135.33,275.09,87,100,2.57,US,1703253428
319,luderitz,-26.6481,15.1594,295.12,61,0,11.48,,1703253429
320,pahrump,36.2083,-115.9839,285.55,72,100,0.45,US,1703253214
321,bandon,51.7469,-8.7425,282.92,72,100,7.26,IE,1703253429
322,tulun,54.5611,100.5792,255.73,92,100,2.19,RU,1703253429
323,aral,40.5156,81.2636,270.19,43,0,2.31,CN,1703253430
324,jiangzi,28.95,89.6333,271.66,15,91,0.7,CN,1703253430
325,jobabo,20.9692,-76.2994,296.56,72,87,6.16,CU,1703253430
326,progreso,21.2833,-89.6667,294.88,78,91,3.51,MX,1703253293
327,salekhard,66.53,66.6019,254.6,98,100,2.01,RU,1703253431
328,santyoku,37.4406,129.1708,266.5,53,0,4.58,KR,1703253431
329,neyriz,29.1988,54.3278,284.02,38,100,2.26,IR,1703253431
330,talara,-4.5772,-81.2719,296.57,73,100,7.72,PE,1703253431
331,walvis bay,-22.9575,14.5053,292.09,62,26,10.12,,1703253223
332,porto novo,6.4965,2.6036,307.05,26,94,4.09,BJ,1703253432
333,daru,-9.0763,143.2092,299.3,87,99,2.42,PG,1703253432
334,nazarabad,35.9521,50.6075,283.6,41,78,2.22,IR,1703253432
335,rosarito,32.3333,-117.0333,288.68,80,22,3.58,MX,1703253433
336,la ligua,-32.4524,-71.2311,295.67,52,28,2.94,CL,1703253433
337,palmer,42.1584,-72.3287,268.99,60,0,2.57,US,1703253433
338,dolores,-36.3132,-57.6792,296.97,57,68,1.75,AR,1703253433
339,babana,10.4295,3.815,308.87,13,14,3.1,NG,1703253434
340,taoudenni,22.6783,-3.9836,296.63,18,34,6.76,ML,1703253434
341,kununurra,-15.7667,128.7333,302.14,61,76,1.54,AU,1703253434
342,eckernforde,54.4667,9.8333,278.2,74,83,9.15,DE,1703253434
343,tsiombe,-25.3,45.4833,301.07,61,55,6.95,MG,1703253435
344,touros,-5.1989,-35.4608,302.85,61,74,7.58,BR,1703253435
345,letterkenny,54.95,-7.7333,284.11,85,100,9.39,IE,1703253435
346,sosnovoborsk,56.1325,93.3589,270.72,78,100,6.13,RU,1703253435
347,carutapera,-1.195,-46.02,302.27,72,99,5.12,BR,1703253436
348,sao joao da barra,-21.6403,-41.0511,306.2,64,51,4.84,BR,1703253436
349,la passe,45.5549,-0.8967,285.28,80,100,7.24,FR,1703253436
350,carnarvon,-24.8667,113.6333,295.92,76,7,5.28,AU,1703253436
351,ocean shores,46.9737,-124.1563,280.38,94,100,4.02,US,1703253437
352,las palmas,28.4204,-14.0131,289.59,68,40,3.6,ES,1703253437
353,maroantsetra,-15.4333,49.7333,302.48,78,98,3.86,MG,1703253437
354,tromso,69.6496,18.957,265.16,79,0,1.03,NO,1703253437
355,charters towers,-20.1,146.2667,298.52,83,41,4.25,AU,1703253437
356,holualoa,19.6228,-155.9522,294.06,95,40,1.54,US,1703253200
357,cambria,35.5641,-121.0808,287.07,88,91,0.89,US,1703253438
358,qui nhon,13.7667,109.2333,294.98,90,100,13.17,VN,1703253438
359,motueka,-41.1333,173.0167,290.98,86,100,0.68,NZ,1703253438
360,porto velho,-8.7619,-63.9039,301.18,94,75,2.57,BR,1703253438
361,san mariano,7.5,126.0,295.04,95,3,1.24,PH,1703253439
